SD initialization failed!
Is there an SD card inserted?
##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
Device ID: Leonardo
1 5465 152 26.78 0 22.40
2 10182 89 21.05 5 22.51
3 13194 199 33.86 10 22.40
4 25665 327 59.28 15 22.40
5 27125 120 23.58 20 22.40
6 34066 76 19.69 25 22.40
7 36070 62 17.75 30 22.62
8 38121 89 21.05 35 22.40
9 38775 110 22.78 40 22.62
10 41453 76 19.69 45 22.51
11 41886 92 21.32 50 22.51
12 46028 71 19.06 55 22.72
13 46498 56 16.76 60 22.62
14 47865 56 16.76 65 22.29
15 48338 127 24.18 70 22.40
16 52531 61 17.60 75 22.62
17 52714 517 151.05 80 22.51
18 63737 179 30.55 85 22.72
19 67562 56 16.76 90 22.83
20 71231 63 17.91 95 22.62
21 76904 69 18.79 100 22.83
22 86072 49 15.48 105 22.72
23 87314 79 20.03 110 22.72
24 97321 432 101.61 115 22.72
25 105980 67 18.51 120 22.83
26 109289 96 21.67 125 23.15
27 115019 70 18.93 130 23.05
28 115254 419 97.20 135 22.72
29 115362 103 22.23 140 22.83
30 116531 71 19.06 145 23.05
31 120653 295 51.75 150 23.05
32 132420 63 17.91 155 22.72
33 133139 71 19.06 160 22.83
34 133255 63 17.91 165 22.94
35 134656 88 20.96 170 22.94
36 136225 176 30.09 175 22.94
37 138096 524 150.73 180 22.94
38 140411 113 23.02 186 22.83
39 143810 122 23.75 191 23.05
40 144992 519 154.30 196 23.15
41 145726 142 25.64 202 22.94
42 146297 71 19.06 207 23.15
43 149240 51 15.86 212 22.83
44 160183 63 17.91 217 23.05
45 161003 96 21.67 222 23.15
46 167734 69 18.79 227 23.05
47 169828 188 32.01 232 23.05
48 174404 94 21.50 237 23.15
49 187389 61 17.60 242 23.05
50 188233 153 26.90 247 22.94
51 189817 241 41.39 252 22.94
52 190305 185 31.51 257 23.15
53 191624 359 69.86 262 22.94
54 191850 89 21.05 267 23.26
55 192012 99 21.91 272 22.94
56 192691 51 15.86 277 22.94
57 196302 67 18.51 282 22.94
58 197937 69 18.79 287 23.15
59 199647 135 24.92 292 23.15
60 205700 240 41.21 297 23.15
61 206948 85 20.67 302 23.15
